,n_estimators,learning_rate,num_leaves,max_depth,boosting_type,subsample,f1_score,threshold,best_report,confusion_matrix
10,100,0.01,31,-1,dart,0.7,0.4793650793650793,0.5,"{'0': {'precision': 0.42424242424242425, 'recall': 0.5185185185185185, 'f1-score': 0.4666666666666667, 'support': 54.0}, '1': {'precision': 0.543859649122807, 'recall': 0.4492753623188406, 'f1-score': 0.49206349206349204, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4840510366826156, 'recall': 0.48389694041867953, 'f1-score': 0.4793650793650793, 'support': 123.0}, 'weighted avg': {'precision': 0.4913447699070292, 'recall': 0.4796747967479675, 'f1-score': 0.4809136662795199, 'support': 123.0}}","[[28 26]
 [38 31]]"
11,100,0.01,31,-1,dart,0.7,0.5039338842975207,0.5,"{'0': {'precision': 0.44776119402985076, 'recall': 0.5555555555555556, 'f1-score': 0.49586776859504134, 'support': 54.0}, '1': {'precision': 0.5714285714285714, 'recall': 0.463768115942029, 'f1-score': 0.512, 'support': 69.0}, 'accuracy': 0.5040650406504065, 'macro avg': {'precision': 0.509594882729211, 'recall': 0.5096618357487923, 'f1-score': 0.5039338842975207, 'support': 123.0}, 'weighted avg': {'precision': 0.5171355764730354, 'recall': 0.5040650406504065, 'f1-score': 0.5049175569441645, 'support': 123.0}}","[[30 24]
 [37 32]]"
12,100,0.01,31,-1,dart,0.8,0.4605263157894737,0.5,"{'0': {'precision': 0.4, 'recall': 0.4444444444444444, 'f1-score': 0.42105263157894735, 'support': 54.0}, '1': {'precision': 0.5238095238095238, 'recall': 0.4782608695652174, 'f1-score': 0.5, 'support': 69.0}, 'accuracy': 0.4634146341463415, 'macro avg': {'precision': 0.46190476190476193, 'recall': 0.4613526570048309, 'f1-score': 0.4605263157894737, 'support': 123.0}, 'weighted avg': {'precision': 0.4694541231126597, 'recall': 0.4634146341463415, 'f1-score': 0.4653401797175866, 'support': 123.0}}","[[24 30]
 [36 33]]"
13,100,0.01,31,-1,dart,0.8,0.4793650793650793,0.5,"{'0': {'precision': 0.42424242424242425, 'recall': 0.5185185185185185, 'f1-score': 0.4666666666666667, 'support': 54.0}, '1': {'precision': 0.543859649122807, 'recall': 0.4492753623188406, 'f1-score': 0.49206349206349204, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4840510366826156, 'recall': 0.48389694041867953, 'f1-score': 0.4793650793650793, 'support': 123.0}, 'weighted avg': {'precision': 0.4913447699070292, 'recall': 0.4796747967479675, 'f1-score': 0.4809136662795199, 'support': 123.0}}","[[28 26]
 [38 31]]"
14,100,0.01,31,-1,dart,0.8,0.5039338842975207,0.5,"{'0': {'precision': 0.44776119402985076, 'recall': 0.5555555555555556, 'f1-score': 0.49586776859504134, 'support': 54.0}, '1': {'precision': 0.5714285714285714, 'recall': 0.463768115942029, 'f1-score': 0.512, 'support': 69.0}, 'accuracy': 0.5040650406504065, 'macro avg': {'precision': 0.509594882729211, 'recall': 0.5096618357487923, 'f1-score': 0.5039338842975207, 'support': 123.0}, 'weighted avg': {'precision': 0.5171355764730354, 'recall': 0.5040650406504065, 'f1-score': 0.5049175569441645, 'support': 123.0}}","[[30 24]
 [37 32]]"
15,100,0.01,31,-1,dart,1.0,0.4605263157894737,0.5,"{'0': {'precision': 0.4, 'recall': 0.4444444444444444, 'f1-score': 0.42105263157894735, 'support': 54.0}, '1': {'precision': 0.5238095238095238, 'recall': 0.4782608695652174, 'f1-score': 0.5, 'support': 69.0}, 'accuracy': 0.4634146341463415, 'macro avg': {'precision': 0.46190476190476193, 'recall': 0.4613526570048309, 'f1-score': 0.4605263157894737, 'support': 123.0}, 'weighted avg': {'precision': 0.4694541231126597, 'recall': 0.4634146341463415, 'f1-score': 0.4653401797175866, 'support': 123.0}}","[[24 30]
 [36 33]]"
16,100,0.01,31,-1,dart,1.0,0.4793650793650793,0.5,"{'0': {'precision': 0.42424242424242425, 'recall': 0.5185185185185185, 'f1-score': 0.4666666666666667, 'support': 54.0}, '1': {'precision': 0.543859649122807, 'recall': 0.4492753623188406, 'f1-score': 0.49206349206349204, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4840510366826156, 'recall': 0.48389694041867953, 'f1-score': 0.4793650793650793, 'support': 123.0}, 'weighted avg': {'precision': 0.4913447699070292, 'recall': 0.4796747967479675, 'f1-score': 0.4809136662795199, 'support': 123.0}}","[[28 26]
 [38 31]]"
17,100,0.01,31,-1,dart,1.0,0.5039338842975207,0.5,"{'0': {'precision': 0.44776119402985076, 'recall': 0.5555555555555556, 'f1-score': 0.49586776859504134, 'support': 54.0}, '1': {'precision': 0.5714285714285714, 'recall': 0.463768115942029, 'f1-score': 0.512, 'support': 69.0}, 'accuracy': 0.5040650406504065, 'macro avg': {'precision': 0.509594882729211, 'recall': 0.5096618357487923, 'f1-score': 0.5039338842975207, 'support': 123.0}, 'weighted avg': {'precision': 0.5171355764730354, 'recall': 0.5040650406504065, 'f1-score': 0.5049175569441645, 'support': 123.0}}","[[30 24]
 [37 32]]"
18,100,0.01,31,5,gbdt,0.7,0.5281746031746032,0.5,"{'0': {'precision': 0.4722222222222222, 'recall': 0.6296296296296297, 'f1-score': 0.5396825396825397, 'support': 54.0}, '1': {'precision': 0.6078431372549019, 'recall': 0.4492753623188406, 'f1-score': 0.5166666666666667, 'support': 69.0}, 'accuracy': 0.5284552845528455, 'macro avg': {'precision': 0.5400326797385621, 'recall': 0.5394524959742351, 'f1-score': 0.5281746031746032, 'support': 123.0}, 'weighted avg': {'precision': 0.5483022477283596, 'recall': 0.5284552845528455, 'f1-score': 0.5267711962833914, 'support': 123.0}}","[[34 20]
 [38 31]]"
19,100,0.01,31,5,gbdt,0.7,0.4878048780487805,0.5,"{'0': {'precision': 0.43478260869565216, 'recall': 0.5555555555555556, 'f1-score': 0.4878048780487805, 'support': 54.0}, '1': {'precision': 0.5555555555555556, 'recall': 0.43478260869565216, 'f1-score': 0.4878048780487805, 'support': 69.0}, 'accuracy': 0.4878048780487805, 'macro avg': {'precision': 0.49516908212560384, 'recall': 0.49516908212560384, 'f1-score': 0.4878048780487805, 'support': 123.0}, 'weighted avg': {'precision': 0.5025332862024272, 'recall': 0.4878048780487805, 'f1-score': 0.4878048780487805, 'support': 123.0}}","[[30 24]
 [39 30]]"
20,100,0.01,31,5,gbdt,0.7,0.4796404019037546,0.5,"{'0': {'precision': 0.42857142857142855, 'recall': 0.5555555555555556, 'f1-score': 0.4838709677419355, 'support': 54.0}, '1': {'precision': 0.5471698113207547, 'recall': 0.42028985507246375, 'f1-score': 0.47540983606557374, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4878706199460916, 'recall': 0.48792270531400966, 'f1-score': 0.4796404019037546, 'support': 123.0}, 'weighted avg': {'precision': 0.49510222865031883, 'recall': 0.4796747967479675, 'f1-score': 0.4791244792405618, 'support': 123.0}}","[[30 24]
 [40 29]]"
21,100,0.01,31,5,gbdt,0.8,0.5281746031746032,0.5,"{'0': {'precision': 0.4722222222222222, 'recall': 0.6296296296296297, 'f1-score': 0.5396825396825397, 'support': 54.0}, '1': {'precision': 0.6078431372549019, 'recall': 0.4492753623188406, 'f1-score': 0.5166666666666667, 'support': 69.0}, 'accuracy': 0.5284552845528455, 'macro avg': {'precision': 0.5400326797385621, 'recall': 0.5394524959742351, 'f1-score': 0.5281746031746032, 'support': 123.0}, 'weighted avg': {'precision': 0.5483022477283596, 'recall': 0.5284552845528455, 'f1-score': 0.5267711962833914, 'support': 123.0}}","[[34 20]
 [38 31]]"
22,100,0.01,31,5,gbdt,0.8,0.4878048780487805,0.5,"{'0': {'precision': 0.43478260869565216, 'recall': 0.5555555555555556, 'f1-score': 0.4878048780487805, 'support': 54.0}, '1': {'precision': 0.5555555555555556, 'recall': 0.43478260869565216, 'f1-score': 0.4878048780487805, 'support': 69.0}, 'accuracy': 0.4878048780487805, 'macro avg': {'precision': 0.49516908212560384, 'recall': 0.49516908212560384, 'f1-score': 0.4878048780487805, 'support': 123.0}, 'weighted avg': {'precision': 0.5025332862024272, 'recall': 0.4878048780487805, 'f1-score': 0.4878048780487805, 'support': 123.0}}","[[30 24]
 [39 30]]"
23,100,0.01,31,5,gbdt,0.8,0.4796404019037546,0.5,"{'0': {'precision': 0.42857142857142855, 'recall': 0.5555555555555556, 'f1-score': 0.4838709677419355, 'support': 54.0}, '1': {'precision': 0.5471698113207547, 'recall': 0.42028985507246375, 'f1-score': 0.47540983606557374, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4878706199460916, 'recall': 0.48792270531400966, 'f1-score': 0.4796404019037546, 'support': 123.0}, 'weighted avg': {'precision': 0.49510222865031883, 'recall': 0.4796747967479675, 'f1-score': 0.4791244792405618, 'support': 123.0}}","[[30 24]
 [40 29]]"
24,100,0.01,31,5,gbdt,1.0,0.5281746031746032,0.5,"{'0': {'precision': 0.4722222222222222, 'recall': 0.6296296296296297, 'f1-score': 0.5396825396825397, 'support': 54.0}, '1': {'precision': 0.6078431372549019, 'recall': 0.4492753623188406, 'f1-score': 0.5166666666666667, 'support': 69.0}, 'accuracy': 0.5284552845528455, 'macro avg': {'precision': 0.5400326797385621, 'recall': 0.5394524959742351, 'f1-score': 0.5281746031746032, 'support': 123.0}, 'weighted avg': {'precision': 0.5483022477283596, 'recall': 0.5284552845528455, 'f1-score': 0.5267711962833914, 'support': 123.0}}","[[34 20]
 [38 31]]"
25,100,0.01,31,5,gbdt,1.0,0.4878048780487805,0.5,"{'0': {'precision': 0.43478260869565216, 'recall': 0.5555555555555556, 'f1-score': 0.4878048780487805, 'support': 54.0}, '1': {'precision': 0.5555555555555556, 'recall': 0.43478260869565216, 'f1-score': 0.4878048780487805, 'support': 69.0}, 'accuracy': 0.4878048780487805, 'macro avg': {'precision': 0.49516908212560384, 'recall': 0.49516908212560384, 'f1-score': 0.4878048780487805, 'support': 123.0}, 'weighted avg': {'precision': 0.5025332862024272, 'recall': 0.4878048780487805, 'f1-score': 0.4878048780487805, 'support': 123.0}}","[[30 24]
 [39 30]]"
26,100,0.01,31,5,gbdt,1.0,0.4796404019037546,0.5,"{'0': {'precision': 0.42857142857142855, 'recall': 0.5555555555555556, 'f1-score': 0.4838709677419355, 'support': 54.0}, '1': {'precision': 0.5471698113207547, 'recall': 0.42028985507246375, 'f1-score': 0.47540983606557374, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4878706199460916, 'recall': 0.48792270531400966, 'f1-score': 0.4796404019037546, 'support': 123.0}, 'weighted avg': {'precision': 0.49510222865031883, 'recall': 0.4796747967479675, 'f1-score': 0.4791244792405618, 'support': 123.0}}","[[30 24]
 [40 29]]"
27,100,0.01,31,5,dart,0.7,0.4788135593220339,0.5,"{'0': {'precision': 0.421875, 'recall': 0.5, 'f1-score': 0.4576271186440678, 'support': 54.0}, '1': {'precision': 0.5423728813559322, 'recall': 0.463768115942029, 'f1-score': 0.5, 'support': 69.0}, 'accuracy': 0.4796747967479675, 'macro avg': {'precision': 0.4821239406779661, 'recall': 0.4818840579710145, 'f1-score': 0.4788135593220339, 'support': 123.0}, 'weighted avg': {'precision': 0.48947137246796196, 'recall': 0.4796747967479675, 'f1-score': 0.48139727159983464, 'support': 123.0}}","[[27 27]
 [37 32]]"
28,100,0.01,31,5,dart,0.7,0.5121628767847699,0.5,"{'0': {'precision': 0.45588235294117646, 'recall': 0.5740740740740741, 'f1-score': 0.5081967213114754, 'support': 54.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.463768115942029, 'f1-score': 0.5161290322580645, 'support': 69.0}, 'accuracy': 0.5121951219512195, 'macro avg': {'precision': 0.5188502673796791, 'recall': 0.5189210950080515, 'f1-score': 0.5121628767847699, 'support': 123.0}, 'weighted avg': {'precision': 0.526529281335594, 'recall': 0.5121951219512195, 'f1-score': 0.5126465542815132, 'support': 123.0}}","[[31 23]
 [37 32]]"
